N_Ahalf,N_Bhalf,N_Chalf,N_A%,N_B%,N_C%,AnN_A%,AnN_B%,AnN_C%,tfinal,iterlength,elementtotal,timestep
2.53,11.05,stable,100.0,0.0,0.0,100.0,0.0,0.0,60.0,1.0,3,1.0
2.53,11.05,stable,76.0353959748147,23.964604025185295,0.0,76.0353959748147,23.195234623154214,0.7693694020310864,60.0,1.0,3,2.0
2.53,11.05,stable,57.81381441046868,40.72910566524332,1.4570799242880028,57.81381441046868,39.42152187883911,2.7646637106922154,60.0,1.0,3,3.0
2.53,11.05,stable,43.958962715144345,52.107573351190226,3.933463933665429,43.958962715144345,50.43469060677415,5.606346678081505,60.0,1.0,3,4.0
2.53,11.05,stable,33.42437136688116,59.47395466128247,7.1016739718363695,33.42437136688116,57.56457861292018,9.011050020198658,60.0,1.0,3,5.0
2.53,11.05,stable,25.414353120900675,63.86787704922594,10.717769829873383,25.414353120900678,61.81743672804569,12.768210151053626,60.0,1.0,3,6.0
2.53,11.05,stable,19.323904029914505,66.07507393385306,14.601022036232429,19.32390402991451,63.953772865484765,16.72232310460073,60.0,1.0,3,7.0
2.53,11.05,stable,14.69300694693867,66.68851829264943,18.618474760411893,14.693006946938672,64.54752295689369,20.759470096167636,60.0,1.0,3,8.0
2.53,11.05,stable,11.17188601271185,66.15488826655941,22.67322572072873,11.171886012711852,64.03102480636677,24.797089180921372,60.0,1.0,3,9.0
2.53,11.05,stable,8.494587767620393,64.80988096946804,26.695531262911558,8.494587767620395,62.72919817100481,28.776214061374795,60.0,1.0,3,10.0
2.53,11.05,stable,6.458893445538338,62.905047988997396,30.63605856546426,6.45889344553834,60.88551872387082,32.65558783059085,60.0,1.0,3,11.0
2.53,11.05,stable,4.9110452069064285,60.628185313782566,34.460769479311,4.91104520690643,58.68175337474141,36.40720141835215,60.0,1.0,3,12.0
2.53,11.05,stable,3.734132669573461,58.11882322818058,38.14704410224595,3.734132669573461,56.252952870931054,40.01291445949547,60.0,1.0,3,13.0
2.53,11.05,stable,2.8392625615351,55.4799912788001,41.68074615966479,2.8392625615351,53.69883905654758,43.461898381917315,60.0,1.0,3,14.0
2.53,11.05,stable,2.15884453142788,52.78715175760137,45.05400371097074,2.1588445314278806,51.09245155141442,46.748703917157705,60.0,1.0,3,15.0
2.53,11.05,stable,1.6414859879518218,50.09498098836639,48.26353302368178,1.6414859879518229,48.48671132835976,49.87180268368841,60.0,1.0,3,16.0
