N_Ahalf,N_Bhalf,N_Chalf,N_A%,N_B%,N_C%,AnN_A%,AnN_B%,AnN_C%,tfinal,iterlength,elementtotal,timestep
2.53,11.05,stable,100.0,0.0,0.0,100.0,0.0,0.0,60.0,0.5,3,0.5
2.53,11.05,stable,87.19827749148185,12.801722508518154,0.0,87.19827749148185,12.598537057378374,0.20318545113977868,60.0,0.5,3,1.0
2.53,11.05,stable,76.03539597481469,23.56932045468642,0.39528357049889173,76.0353959748147,23.195234623154214,0.7693694020310864,60.0,0.5,3,1.5
2.53,11.05,stable,66.30155557386593,32.57540213899671,1.1230422871373644,66.30155557386594,32.05837423316076,1.6400701929732888,60.0,0.5,3,2.0
2.53,11.05,stable,57.81381441046866,40.057300435594456,2.128885153936883,57.81381441046868,39.42152187883911,2.7646637106922154,60.0,0.5,3,2.5
2.53,11.05,stable,50.41265031805078,46.2216002911729,3.3657493907763207,50.4126503180508,45.48798364690369,4.099366035045511,60.0,0.5,3,3.0
2.53,11.05,stable,43.958962715144324,51.24808626671161,4.792951018144064,43.958962715144345,50.43469060677415,5.606346678081505,60.0,0.5,3,3.5
2.53,11.05,stable,38.33145829072859,55.29318437765962,6.375357331611786,38.33145829072861,54.41558602280899,7.2529556864624025,60.0,0.5,3,4.0
2.53,11.05,stable,33.42437136688114,58.49296298182496,8.0826656512939,33.42437136688116,57.56457861292018,9.011050020198658,60.0,0.5,3,4.5
2.53,11.05,stable,29.145476094276418,60.965749174879605,9.888774730843975,29.14547609427644,59.9981174173618,10.85640648836176,60.0,0.5,3,5.0
2.53,11.05,stable,25.414353120900657,62.81440992522631,11.771236953873034,25.414353120900678,61.81743672804569,12.768210151053626,60.0,0.5,3,5.5
2.53,11.05,stable,22.16087815702803,64.1283408771503,13.710780965821668,22.16087815702805,63.110513325951665,14.728608517020286,60.0,0.5,3,6.0
2.53,11.05,stable,19.32390402991449,64.9852002552351,15.690895714850404,19.32390402991451,63.953772865484765,16.72232310460073,60.0,0.5,3,6.5
2.53,11.05,stable,16.85011145819248,65.45242051066276,17.69746803114476,16.850111458192497,64.41357752833748,18.736311013470022,60.0,0.5,3,7.0
2.53,11.05,stable,14.693006946938656,65.5885261711733,19.71846688188804,14.693006946938672,64.54752295689369,20.759470096167636,60.0,0.5,3,7.5
2.53,11.05,stable,12.812048969434274,65.44428271258575,21.743668317979974,12.812048969434292,64.40556889117397,22.782382139391736,60.0,0.5,3,8.0
2.53,11.05,stable,11.171886012711838,65.0636980923976,23.76441589489056,11.171886012711852,64.03102480636677,24.797089180921372,60.0,0.5,3,8.5
2.53,11.05,stable,9.741692166396515,64.4848958153622,25.773412018241295,9.741692166396525,63.461409121346776,26.796898712256695,60.0,0.5,3,9.0
